enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity,maxpoolgradient
twolocal,entangled,twolocal,gibbs,3,3,12,12,1,0,0.0,0.0,0.0,0.0,0.19254110180603923,0.10472917189654554
twolocal,entangled,twolocal,gibbs,3,3,12,12,2,0,0.0,0.0,0.0,0.0,0.3250899356982455,0.09052824814871205
twolocal,entangled,twolocal,gibbs,3,3,12,12,3,0,0.0,0.0,0.0,0.0,0.4466088985933385,0.09152340677311868
twolocal,entangled,twolocal,gibbs,3,3,12,12,4,0,0.0,0.0,0.0,0.0,0.49622225728991287,0.11810832436340662
twolocal,entangled,twolocal,gibbs,3,3,12,12,5,0,0.0,0.0,0.0,0.0,0.5594806357658249,0.08707592988125212
twolocal,entangled,twolocal,gibbs,3,3,12,12,6,0,0.0,0.0,0.0,0.0,0.5752186354355507,0.06397404228790361
twolocal,entangled,twolocal,gibbs,3,3,12,12,7,0,0.0,0.0,0.0,0.0,0.6431122657859734,0.08049522914446663
twolocal,entangled,twolocal,gibbs,3,3,12,12,8,0,0.0,0.0,0.0,0.0,0.6507846032802219,0.07267530930692281
twolocal,entangled,twolocal,gibbs,3,3,12,12,9,0,0.0,0.0,0.0,0.0,0.680177327426103,0.05187790400373189
twolocal,entangled,twolocal,gibbs,3,3,12,12,10,0,0.0,0.0,0.0,0.0,0.6872683539385483,0.052267794161360404
twolocal,entangled,twolocal,gibbs,3,3,12,12,11,0,0.0,0.0,0.0,0.0,0.7352373822991012,0.0458575301049466
twolocal,entangled,twolocal,gibbs,3,3,12,12,12,0,0.0,0.0,0.0,0.0,0.760051795234308,0.03668223395997447
twolocal,entangled,twolocal,gibbs,3,3,12,12,13,0,0.0,0.0,0.0,0.0,0.7807878046994048,0.031563258994758064
twolocal,entangled,twolocal,gibbs,3,3,12,12,14,0,0.0,0.0,0.0,0.0,0.7864220377407144,0.031246130821857537
twolocal,entangled,twolocal,gibbs,3,3,12,12,15,0,0.0,0.0,0.0,0.0,0.7893344268805735,0.032367823558744346
twolocal,entangled,twolocal,gibbs,3,3,12,12,16,0,0.0,0.0,0.0,0.0,0.8096475154417303,0.026432536276509724
twolocal,entangled,twolocal,gibbs,3,3,12,12,17,0,0.0,0.0,0.0,0.0,0.8219345884310769,0.020474782406139723
twolocal,entangled,twolocal,gibbs,3,3,12,12,18,0,0.0,0.0,0.0,0.0,0.8305469214551774,0.021805336810059438
