enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity,maxpoolgradient
twolocal,entangled,twolocal,gibbs,3,3,19,19,1,0,0.0,0.0,0.0,0.0,0.3411647386278833,0.0946351051454068
twolocal,entangled,twolocal,gibbs,3,3,19,19,2,0,0.0,0.0,0.0,0.0,0.34078600552551686,0.1272387682763783
twolocal,entangled,twolocal,gibbs,3,3,19,19,3,0,0.0,0.0,0.0,0.0,0.402472766718559,0.10878350670297074
twolocal,entangled,twolocal,gibbs,3,3,19,19,4,0,0.0,0.0,0.0,0.0,0.4071451356744312,0.09888372978220683
twolocal,entangled,twolocal,gibbs,3,3,19,19,5,0,0.0,0.0,0.0,0.0,0.42880838638802166,0.07393692106544825
twolocal,entangled,twolocal,gibbs,3,3,19,19,6,0,0.0,0.0,0.0,0.0,0.43688621617768997,0.04823067858840542
twolocal,entangled,twolocal,gibbs,3,3,19,19,7,0,0.0,0.0,0.0,0.0,0.48473838331419294,0.06853534695390852
twolocal,entangled,twolocal,gibbs,3,3,19,19,8,0,0.0,0.0,0.0,0.0,0.49633518193806947,0.05988753672341329
twolocal,entangled,twolocal,gibbs,3,3,19,19,9,0,0.0,0.0,0.0,0.0,0.5152384831022976,0.05692428223145807
twolocal,entangled,twolocal,gibbs,3,3,19,19,10,0,0.0,0.0,0.0,0.0,0.5413171006109658,0.05422327699963858
twolocal,entangled,twolocal,gibbs,3,3,19,19,11,0,0.0,0.0,0.0,0.0,0.5592337742786432,0.05377797456895363
twolocal,entangled,twolocal,gibbs,3,3,19,19,12,0,0.0,0.0,0.0,0.0,0.5675536544864865,0.04675772889207663
twolocal,entangled,twolocal,gibbs,3,3,19,19,13,0,0.0,0.0,0.0,0.0,0.5740653564266526,0.04713115291871112
twolocal,entangled,twolocal,gibbs,3,3,19,19,14,0,0.0,0.0,0.0,0.0,0.5780335446976599,0.03726690628332019
twolocal,entangled,twolocal,gibbs,3,3,19,19,15,0,0.0,0.0,0.0,0.0,0.5815622168006251,0.029067884743522315
twolocal,entangled,twolocal,gibbs,3,3,19,19,16,0,0.0,0.0,0.0,0.0,0.5868923689659485,0.029158720663447435
twolocal,entangled,twolocal,gibbs,3,3,19,19,17,0,0.0,0.0,0.0,0.0,0.5877462917152141,0.021532259993786357
twolocal,entangled,twolocal,gibbs,3,3,19,19,18,0,0.0,0.0,0.0,0.0,0.5922524661007218,0.021676541442830558
twolocal,entangled,twolocal,gibbs,3,3,19,19,19,0,0.0,0.0,0.0,0.0,0.599793037397051,0.012520342906696472
twolocal,entangled,twolocal,gibbs,3,3,19,19,20,0,0.0,0.0,0.0,0.0,0.6019380166990118,0.006382959888180509
twolocal,entangled,twolocal,gibbs,3,3,19,19,21,0,0.0,0.0,0.0,0.0,0.6033467244481185,0.004968229835877358
twolocal,entangled,twolocal,gibbs,3,3,19,19,22,0,0.0,0.0,0.0,0.0,0.8189469474168001,0.0043975744148958
twolocal,entangled,twolocal,gibbs,3,3,19,19,23,0,0.0,0.0,0.0,0.0,0.8205514869147573,0.033511308627330295
twolocal,entangled,twolocal,gibbs,3,3,19,19,24,0,0.0,0.0,0.0,0.0,0.8315161199300788,0.026905666946638655
twolocal,entangled,twolocal,gibbs,3,3,19,19,25,0,0.0,0.0,0.0,0.0,0.8349426163377158,0.02300385839542519
twolocal,entangled,twolocal,gibbs,3,3,19,19,26,0,0.0,0.0,0.0,0.0,0.8400499525539102,0.014431765733993844
twolocal,entangled,twolocal,gibbs,3,3,19,19,27,0,0.0,0.0,0.0,0.0,0.8434091127773098,0.015263538717530771
twolocal,entangled,twolocal,gibbs,3,3,19,19,28,0,0.0,0.0,0.0,0.0,0.8450567440296742,0.01362566754084061
twolocal,entangled,twolocal,gibbs,3,3,19,19,29,0,0.0,0.0,0.0,0.0,0.8481107218872522,0.00851191361970055
twolocal,entangled,twolocal,gibbs,3,3,19,19,30,0,0.0,0.0,0.0,0.0,0.8489612260794216,0.0088034150399923
twolocal,entangled,twolocal,gibbs,3,3,19,19,31,0,0.0,0.0,0.0,0.0,0.8499796111343548,0.006766855844802635
