enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,1,1,10,10,0,0,0.0,0.9863876783493086,0.04097906243961219,0.11885476410846241,0.8395427197906888
twolocal,entangled,twolocal,renyi,1,1,10,10,1,5,0.0007789134979248047,0.9810053326517727,0.054105626752284086,0.08579385255577933,0.9669566433891179
twolocal,entangled,twolocal,renyi,1,1,10,10,2,11,0.0017418861389160156,0.9807286272380068,0.054758830752122956,0.08401869434648966,0.967967086257563
twolocal,entangled,twolocal,renyi,1,1,10,10,3,21,0.003422975540161133,0.7900128291086634,0.36533385519792694,3.2143177008947532e-12,0.9999999999999994
