enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,4,0,18,18,0,0,0.0,0.9999999999999999,2.508283074495641e-15,0.5775592096433212,0.26850905654315527
twolocal,entangled,twolocal,renyi,4,0,18,18,1,4,0.001268148422241211,1.0,-8.120376160738023e-16,0.5861407665084507,0.28354161556696217
twolocal,entangled,twolocal,renyi,4,0,18,18,2,10,0.004071950912475586,0.9999999999999993,2.7404010858527313e-15,0.576607891070745,0.3160863107334914
twolocal,entangled,twolocal,renyi,4,0,18,18,3,16,0.008177995681762695,1.0,1.027422153265963e-15,0.5550439867569766,0.317134202358021
twolocal,entangled,twolocal,renyi,4,0,18,18,4,25,0.017669200897216797,0.9999999999999994,3.615969169748913e-15,0.4923274073012499,0.3251518485738352
twolocal,entangled,twolocal,renyi,4,0,18,18,5,34,0.030465126037597656,1.0,2.7746064634115964e-15,0.47497087087846196,0.32902530235477595
twolocal,entangled,twolocal,renyi,4,0,18,18,6,45,0.04426407814025879,1.0,-1.29945900372649e-15,0.45992344053591927,0.33370015396173364
twolocal,entangled,twolocal,renyi,4,0,18,18,7,56,0.062186241149902344,1.0,2.718826906767293e-15,0.44917102484148824,0.3413061187696804
twolocal,entangled,twolocal,renyi,4,0,18,18,8,69,0.11774015426635742,0.9999999999999997,2.0084102348771907e-15,0.38911628784043034,0.36063383830395035
twolocal,entangled,twolocal,renyi,4,0,18,18,9,87,0.18897724151611328,1.0,-3.1540244001434712e-15,0.558583554504648,0.38732422706650327
twolocal,entangled,twolocal,renyi,4,0,18,18,10,103,0.25644516944885254,1.0,-9.415634314999928e-16,0.49269403452596394,0.4100288412554117
twolocal,entangled,twolocal,renyi,4,0,18,18,11,118,0.3350250720977783,1.0,-8.086498319282814e-16,0.4668917642679945,0.41423836555719845
twolocal,entangled,twolocal,renyi,4,0,18,18,12,133,0.40877509117126465,0.9999999999999993,7.268826546576675e-16,0.46682728136324536,0.41436395873436294
twolocal,entangled,twolocal,renyi,4,0,18,18,13,152,0.4989962577819824,1.0,2.822041231871562e-15,0.3789847111092819,0.4182207651648514
twolocal,entangled,twolocal,renyi,4,0,18,18,14,170,0.5889291763305664,0.9999999999999996,-3.0459630539832854e-15,0.3743295048491514,0.42118650563022697
twolocal,entangled,twolocal,renyi,4,0,18,18,15,190,0.7222790718078613,0.9999999999999993,-1.6418991950276845e-15,0.34890676185086833,0.4213861097440788
twolocal,entangled,twolocal,renyi,4,0,18,18,16,209,0.8208980560302734,1.0,-3.2464951581954585e-15,0.35654139883341057,0.42168921513358804
twolocal,entangled,twolocal,renyi,4,0,18,18,17,230,0.9657981395721436,1.0,-2.769304640298326e-15,0.34208777025781506,0.4226345151261454
twolocal,entangled,twolocal,renyi,4,0,18,18,18,251,1.1120522022247314,1.0,2.8553671337104635e-15,0.32025720401668806,0.4233177638577432
twolocal,entangled,twolocal,renyi,4,0,18,18,19,277,1.2833702564239502,0.9999999999999996,1.6923588321073046e-16,0.3310529034994458,0.42557642647879307
twolocal,entangled,twolocal,renyi,4,0,18,18,20,303,1.4666104316711426,1.0,-8.783019065974861e-16,0.34710035782979354,0.427769507832533
twolocal,entangled,twolocal,renyi,4,0,18,18,21,330,1.6847083568572998,1.0,-3.2142295333972968e-15,0.3370679498779634,0.4281577754622276
twolocal,entangled,twolocal,renyi,4,0,18,18,22,357,1.914250373840332,1.0,-1.087515917675062e-15,0.3133772966005226,0.4284025310220163
twolocal,entangled,twolocal,renyi,4,0,18,18,23,384,2.1498653888702393,0.9999999999999999,-2.0601511759779177e-16,0.31873972634171727,0.4283107055650327
twolocal,entangled,twolocal,renyi,4,0,18,18,24,416,2.4582512378692627,0.9999999999999993,-1.0085814817497669e-15,0.3184785742575677,0.4288638804308118
twolocal,entangled,twolocal,renyi,4,0,18,18,25,456,2.85642147064209,0.9999999999999991,1.1178771922048753e-15,0.28922479363064696,0.43025001220359865
twolocal,entangled,twolocal,renyi,4,0,18,18,26,490,3.229276418685913,1.0,1.416682895143192e-15,0.27268718431916467,0.4303798240762349
twolocal,entangled,twolocal,renyi,4,0,18,18,27,524,3.6103265285491943,0.9999999999999992,6.242681054895708e-16,0.262773814278807,0.4307000795887943
twolocal,entangled,twolocal,renyi,4,0,18,18,28,579,4.297577619552612,1.0,2.0870696251620994e-15,0.23086660526070793,0.43243796666649514
twolocal,entangled,twolocal,renyi,4,0,18,18,29,654,5.292004585266113,1.0,-3.329387232071476e-16,0.22755305990414967,0.4353745104086521
twolocal,entangled,twolocal,renyi,4,0,18,18,30,830,7.7810704708099365,1.0,5.951374251720388e-16,0.23971822290283976,0.4357626588886622
