enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,2,2,1,1,0,0.0,0.5860210614198538,0.6044722951057669,0.3983791223098775,0.542013190842683
twolocal,entangled,twolocal,renyi,2,2,1,1,1,0.04378199577331543,0.6110124366142538,0.7308052231355051,0.3983791223098775,0.7066406753002243
twolocal,entangled,twolocal,renyi,2,2,1,1,2,0.04569196701049805,0.5935947473542054,0.6869601322889232,0.14029314256561354,0.7205158086053695
twolocal,entangled,twolocal,renyi,2,2,1,1,3,0.05054616928100586,0.6441676210547145,0.6414177601830178,0.1534006085830361,0.7397400517687169
twolocal,entangled,twolocal,renyi,2,2,1,1,4,0.08718323707580566,0.7247474438827415,0.5420858171078169,0.22630387654045422,0.7958253550870011
twolocal,entangled,twolocal,renyi,2,2,1,1,5,0.09881138801574707,0.6725615679110789,0.6626076744830154,0.19812019959576965,0.9120310511345489
twolocal,entangled,twolocal,renyi,2,2,1,1,6,0.11123538017272949,0.7144852600241319,0.5798997405206807,0.15037703839928002,0.9143760783381129
twolocal,entangled,twolocal,renyi,2,2,1,1,7,0.12763237953186035,0.5661438301687008,0.8254750664755602,0.14015141089362304,0.9437145588070287
twolocal,entangled,twolocal,renyi,2,2,1,1,8,0.19740629196166992,0.46600597256323795,0.9481592723676204,0.06857546825331048,0.9846040355861303
twolocal,entangled,twolocal,renyi,2,2,1,1,9,0.22535943984985352,0.4942218322923106,0.8742868694509531,0.05406672881659065,0.983098801673554
twolocal,entangled,twolocal,renyi,2,2,1,1,10,0.2586965560913086,0.4463304663468623,1.0066035722967113,0.02420333723575853,0.9968715326695712
twolocal,entangled,twolocal,renyi,2,2,1,1,11,0.3301575183868408,0.442882405463443,1.0185145032650007,0.018078817110961792,0.9982933671697193
twolocal,entangled,twolocal,renyi,2,2,1,1,12,0.3654336929321289,0.43777329376641966,1.0231303112619605,0.012342375978897799,0.9989572004501113
twolocal,entangled,twolocal,renyi,2,2,1,1,13,0.43892788887023926,0.43849548554215817,1.0204811579865787,0.006700731201964641,0.9990459652219746
twolocal,entangled,twolocal,renyi,2,2,1,1,14,0.5249488353729248,0.4267488726670042,1.034738653308702,0.0006412803371469017,0.9999983730930128
twolocal,entangled,twolocal,renyi,2,2,1,1,15,0.564072847366333,0.42666057955626274,1.0351627606460292,4.408629919461227e-9,0.9999999999999981
twolocal,entangled,twolocal,renyi,2,2,1,1,15,0.6031968593597412,0.42666057955626274,1.0351627606460292,4.408629919461227e-9,0.9999999999999981
