enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,overlap,4,2,17,17,0,0,0.0,0.9552392539286884,0.10913914504322289,0.6643924681683445,0.2937786904856718
twolocal,entangled,twolocal,overlap,4,2,17,17,1,5,0.031533002853393555,0.6451477645375752,0.5708145388884668,0.4960140321029906,0.4193797549003799
twolocal,entangled,twolocal,overlap,4,2,17,17,2,11,0.07718181610107422,0.3702964444961611,1.159292035122382,0.4960140321029908,0.5236325095328903
twolocal,entangled,twolocal,overlap,4,2,17,17,3,19,0.1714940071105957,0.3245587836738494,1.2323898456607287,0.40469598108732446,0.6217327387595815
twolocal,entangled,twolocal,overlap,4,2,17,17,4,26,0.2608928680419922,0.33288900287417605,1.2188262336442361,0.27728091040428293,0.6483900969631915
twolocal,entangled,twolocal,overlap,4,2,17,17,5,34,0.3880929946899414,0.3220548717943657,1.2364762836123686,0.2309958554354825,0.6710661525697251
twolocal,entangled,twolocal,overlap,4,2,17,17,6,43,0.5665209293365479,0.2870187307527175,1.3108789656251831,0.17320288420414331,0.6907180619546321
twolocal,entangled,twolocal,overlap,4,2,17,17,7,51,0.7526168823242188,0.2885225440531449,1.3075344406681348,0.17528574572860597,0.6979291717278309
twolocal,entangled,twolocal,overlap,4,2,17,17,8,60,0.9868297576904297,0.30158776118533326,1.2819627230093023,0.1834187223763353,0.703780616662073
twolocal,entangled,twolocal,overlap,4,2,17,17,9,68,1.2141547203063965,0.2763733168649022,1.3331931175935452,0.1761284982955037,0.7071843636489769
twolocal,entangled,twolocal,overlap,4,2,17,17,10,77,1.4940967559814453,0.2756064417088148,1.3347628534910863,0.1662236727092329,0.7109040231905112
twolocal,entangled,twolocal,overlap,4,2,17,17,11,87,1.8400537967681885,0.27669533458877715,1.3325246871480714,0.1650816531727584,0.7159008048567906
twolocal,entangled,twolocal,overlap,4,2,17,17,12,97,2.202547788619995,0.27861091891408274,1.3286558715138734,0.15188766332876524,0.7189741178206523
twolocal,entangled,twolocal,overlap,4,2,17,17,13,107,2.5934247970581055,0.2798747451925725,1.3261326284181538,0.11962327465778222,0.7221138187544409
twolocal,entangled,twolocal,overlap,4,2,17,17,14,116,2.967952013015747,0.28217758682998906,1.3224248981480113,0.14116137584086758,0.7243302306551241
twolocal,entangled,twolocal,overlap,4,2,17,17,15,127,3.4715309143066406,0.2855427466428498,1.3156744922681627,0.14398193678412677,0.7282083964405122
twolocal,entangled,twolocal,overlap,4,2,17,17,16,138,4.003028869628906,0.28611031070184506,1.3147135682104847,0.13930552641529573,0.7304001193491361
twolocal,entangled,twolocal,overlap,4,2,17,17,17,149,4.560189723968506,0.28577852567369677,1.3154512211452183,0.1446553660681876,0.7318432558220854
twolocal,entangled,twolocal,overlap,4,2,17,17,18,159,5.086757659912109,0.28602078371143724,1.3150719112902887,0.14110645385828813,0.7327963565667347
twolocal,entangled,twolocal,overlap,4,2,17,17,19,170,5.704846620559692,0.28580135931434164,1.315514824220081,0.14209787059211057,0.7338821223320052
twolocal,entangled,twolocal,overlap,4,2,17,17,20,181,6.359861612319946,0.2894764252743408,1.3096898564421253,0.13294019566624293,0.7354741233781128
twolocal,entangled,twolocal,overlap,4,2,17,17,21,193,7.109579563140869,0.2882616546510441,1.3118756351486969,0.1307449481844208,0.7363176657624237
twolocal,entangled,twolocal,overlap,4,2,17,17,22,206,7.9678826332092285,0.2861796581392536,1.3156427978617864,0.1302142318710678,0.7374267567399184
twolocal,entangled,twolocal,overlap,4,2,17,17,23,219,8.856364488601685,0.2882005581374759,1.3117043481787207,0.12648493855692372,0.7382296075118018
twolocal,entangled,twolocal,overlap,4,2,17,17,24,235,10.013358354568481,0.29307630091745285,1.3036824912842016,0.1124079699386936,0.7436421207773194
twolocal,entangled,twolocal,overlap,4,2,17,17,25,250,11.139034271240234,0.2893012866119095,1.3073314607334385,0.12579025332268495,0.7468490455297159
twolocal,entangled,twolocal,overlap,4,2,17,17,26,267,12.474614143371582,0.28892145568922245,1.3101788073519947,0.13448597109970326,0.7488891058141907
twolocal,entangled,twolocal,overlap,4,2,17,17,27,283,13.774280071258545,0.28880303836503807,1.3103005911555856,0.1243890505871057,0.7504117785574064
twolocal,entangled,twolocal,overlap,4,2,17,17,28,300,15.214649200439453,0.2877657120472287,1.3117975082170341,0.11800645329664991,0.7517495760267597
