enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity,maxpoolgradient
twolocal,entangled,twolocal,overlap,3,2,7,7,0,0,0.0,0.9968712762199681,0.0116852028664708,0.7342111633181501,0.35729203750477384,0.22815561785043761
twolocal,entangled,twolocal,overlap,3,2,7,7,1,3,0.004729032516479492,0.521042322466862,0.6722041510354173,0.5182088121562626,0.5152069865855602,0.4245418458573173
twolocal,entangled,twolocal,overlap,3,2,7,7,2,8,0.012264013290405273,0.2633243906306888,1.3594784786936518,0.11850178823753607,0.7311218134854571,0.3371041771920809
twolocal,entangled,twolocal,overlap,3,2,7,7,3,15,0.024930953979492188,0.2527267764272202,1.3808414395138557,0.11393749064108333,0.8097517169083611,0.15950619736799837
twolocal,entangled,twolocal,overlap,3,2,7,7,4,21,0.07264208793640137,0.25771008001857576,1.3708391818058496,0.11790297362795413,0.8196558955686748,0.16484237383434794
twolocal,entangled,twolocal,overlap,3,2,7,7,5,27,0.10571908950805664,0.2594414707033505,1.367427835038399,0.11696020875294302,0.8312744544985693,0.11801656363294673
twolocal,entangled,twolocal,overlap,3,2,7,7,6,34,0.14290308952331543,0.26406796386896264,1.358409226851871,0.11733930000104159,0.8345417644550656,0.09160680787387095
twolocal,entangled,twolocal,overlap,3,2,7,7,7,42,0.20146608352661133,0.26006058947432825,1.366301685813739,0.10952647981649498,0.8370035474907201,0.0907126736344539
twolocal,entangled,twolocal,overlap,3,2,7,7,8,52,0.2666299343109131,0.2620631659626533,1.3627159934703577,0.1008957323531331,0.8465603707460633,0.1497264060408029
twolocal,entangled,twolocal,overlap,3,2,7,7,9,62,0.34998083114624023,0.2687903679166981,1.3470054844005823,0.09046206824422631,0.8558574203587245,0.12618273836577962
twolocal,entangled,twolocal,overlap,3,2,7,7,10,72,0.4423038959503174,0.2710435610895331,1.341995931640496,0.0860740888991525,0.8624885386467395,0.12496521824970655
twolocal,entangled,twolocal,overlap,3,2,7,7,11,83,0.5473058223724365,0.2760201096889892,1.334017891002222,0.06244163532758654,0.8680658043569779,0.08281364694547605
twolocal,entangled,twolocal,overlap,3,2,7,7,12,95,0.6654527187347412,0.2719505724651049,1.343740417307964,0.06755903889474667,0.8706626530907171,0.07644304870709423
twolocal,entangled,twolocal,overlap,3,2,7,7,13,107,0.8038437366485596,0.2720603626650398,1.3445364753319204,0.0780596748435004,0.8759870146052948,0.0727906720922245
twolocal,entangled,twolocal,overlap,3,2,7,7,14,119,0.9505696296691895,0.26678363673689454,1.3539173540194163,0.07707121224867247,0.8777457615224513,0.07038154474182678
twolocal,entangled,twolocal,overlap,3,2,7,7,15,130,1.1608285903930664,0.2687584452837401,1.3502856804929524,0.07785429143040404,0.8797752008136563,0.07446915082820964
twolocal,entangled,twolocal,overlap,3,2,7,7,16,143,1.3489058017730713,0.27285774310609473,1.342437562354627,0.083265023748579,0.8819289638529954,0.06943875490129921
twolocal,entangled,twolocal,overlap,3,2,7,7,17,157,1.5802626609802246,0.27531491792510543,1.3384045450360187,0.0824963607273051,0.8838791432761451,0.057404847584998836
twolocal,entangled,twolocal,overlap,3,2,7,7,18,172,1.8357276916503906,0.27496979787164555,1.3370129032439948,0.06467934799254507,0.8875081289370051,0.056838027222725955
twolocal,entangled,twolocal,overlap,3,2,7,7,19,186,2.0721936225891113,0.27496062474378313,1.3367077391483553,0.059262460608475634,0.8888491455246622,0.06847295607365773
twolocal,entangled,twolocal,overlap,3,2,7,7,20,202,2.427173614501953,0.2737561525547165,1.338792539889019,0.0515205300469184,0.8911359054061561,0.07638936018452787
twolocal,entangled,twolocal,overlap,3,2,7,7,21,218,2.745612621307373,0.2785573755503075,1.3288108015920443,0.06577764201060357,0.8931999307729843,0.04196743513143642
twolocal,entangled,twolocal,overlap,3,2,7,7,22,234,3.1361496448516846,0.2783740810561697,1.3299896282586245,0.06609147181384153,0.8942933290809276,0.04106915292727498
twolocal,entangled,twolocal,overlap,3,2,7,7,23,249,3.4510886669158936,0.2800315053311851,1.326952055062599,0.06401071454262441,0.8949734713670091,0.028377841932862694
twolocal,entangled,twolocal,overlap,3,2,7,7,24,266,3.881213665008545,0.27953676264606087,1.3278955832557084,0.06415578827914747,0.8957842219636785,0.020423846785477866
twolocal,entangled,twolocal,overlap,3,2,7,7,25,283,5.168461799621582,0.27911946008929917,1.3285221260885691,0.06314574627760308,0.8960564189939585,0.017061603205916126
twolocal,entangled,twolocal,overlap,3,2,7,7,26,301,5.686549663543701,0.28024932434522837,1.3261709368143955,0.06391520116734464,0.8962254515399114,0.01663448775974789
twolocal,entangled,twolocal,overlap,3,2,7,7,27,319,6.1668126583099365,0.2800129699037353,1.3267059490128812,0.061785102838474666,0.8963516434547244,0.01691930633194856
twolocal,entangled,twolocal,overlap,3,2,7,7,28,338,6.685260534286499,0.27968627321470685,1.3279022706902035,0.06309397804261066,0.8964961374775826,0.01497968683864458
twolocal,entangled,twolocal,overlap,3,2,7,7,29,357,7.284144639968872,0.2796283737750647,1.3282112914271063,0.06327373902553213,0.8966684556756775,0.011454036766553105
twolocal,entangled,twolocal,overlap,3,2,7,7,30,378,7.917521715164185,0.28085032408956956,1.3256391275067716,0.06615026460121345,0.8967825686286047,0.01199629768586297
twolocal,entangled,twolocal,overlap,3,2,7,7,31,401,8.639151573181152,0.280884927849001,1.326074310572615,0.06860562633337336,0.8969018701417562,0.013230353471261558
twolocal,entangled,twolocal,overlap,3,2,7,7,32,424,9.446533441543579,0.28090555012802443,1.3260376536510499,0.0676920562723567,0.8970773137369003,0.00814140746715226
twolocal,entangled,twolocal,overlap,3,2,7,7,33,446,10.147709608078003,0.28063122703767934,1.3265766170245676,0.06469381246368018,0.8971696283699822,0.007525740307124871
twolocal,entangled,twolocal,overlap,3,2,7,7,34,470,12.852729797363281,0.2805670942830192,1.3266464196701098,0.06407667033200601,0.8972152644649305,0.006610300001079694
twolocal,entangled,twolocal,overlap,3,2,7,7,35,494,13.809775829315186,0.28042195719741775,1.3270184290903455,0.06234023429056466,0.8972895985982369,0.006206241936317815
twolocal,entangled,twolocal,overlap,3,2,7,7,36,519,15.18946886062622,0.2803575958724276,1.3271050253971437,0.06302993645005356,0.8973196394106111,0.007236155973261757
twolocal,entangled,twolocal,overlap,3,2,7,7,37,546,17.929415941238403,0.28000585999753924,1.3275411093012612,0.06253487223518187,0.8973600109342144,0.004175591469413464
twolocal,entangled,twolocal,overlap,3,2,7,7,38,571,19.542308807373047,0.2801504644015248,1.327249775075641,0.06144610896087995,0.8973746575384092,0.004162134017040165
twolocal,entangled,twolocal,overlap,3,2,7,7,39,599,21.036170721054077,0.279597007511725,1.3284257918939901,0.061410082696723094,0.897393070482573,0.0037648374800459544
twolocal,entangled,twolocal,overlap,3,2,7,7,40,627,22.65311861038208,0.2791104896658274,1.3292468966437718,0.06082534424360284,0.8974098129415639,0.0023261983880098133
twolocal,entangled,twolocal,overlap,3,2,7,7,41,658,24.01112651824951,0.27913952249064705,1.3291528157484336,0.060662509888965925,0.8974212339655765,0.001455495020097648
twolocal,entangled,twolocal,overlap,3,2,7,7,42,690,25.59785556793213,0.27913386481776115,1.3291351230449429,0.060810915999871984,0.8974233598680452,0.0011869175605715321
twolocal,entangled,twolocal,overlap,3,2,7,7,43,721,27.474926471710205,0.2792285492031868,1.3289272467036708,0.060375125807218134,0.8974269145803887,0.0006356895151318016
