enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,overlap,2,1,7,7,0,0,0.0,0.9993460643235382,0.0029519019141260186,0.19118740572661214,0.5467492853000542
twolocal,entangled,twolocal,overlap,2,1,7,7,1,4,0.004248142242431641,0.5722733143811304,0.6190234777256378,0.19118740572661214,0.7395634269028479
twolocal,entangled,twolocal,overlap,2,1,7,7,2,9,0.005567312240600586,0.5735884306672954,0.617638165335791,0.3423647686162525,0.8002436890685122
twolocal,entangled,twolocal,overlap,2,1,7,7,3,14,0.007993221282958984,0.5929472567561296,NaN,0.17131175911713492,0.8595929528379898
twolocal,entangled,twolocal,overlap,2,1,7,7,4,21,0.010433197021484375,0.6053133567792829,NaN,0.17131175911713484,0.9044744785786117
twolocal,entangled,twolocal,overlap,2,1,7,7,5,28,0.027630090713500977,0.6009102036079406,0.5885347256450144,0.10505788815398984,0.9183872004226822
twolocal,entangled,twolocal,overlap,2,1,7,7,6,36,0.031950950622558594,0.5615373987908627,0.630280915923286,0.08017311207622507,0.9239393146270425
twolocal,entangled,twolocal,overlap,2,1,7,7,7,46,0.04001498222351074,0.5505144121053465,0.6417458410816222,0.057853760741088736,0.931014457731768
twolocal,entangled,twolocal,overlap,2,1,7,7,8,56,0.04832196235656738,0.5445527621098873,NaN,0.061182261964563694,0.9318744941037187
twolocal,entangled,twolocal,overlap,2,1,7,7,9,67,0.06004691123962402,0.5416703575498301,0.6508778126806893,0.0617666952706991,0.9323648441875982
twolocal,entangled,twolocal,overlap,2,1,7,7,10,79,0.11649894714355469,0.5401584494672025,0.6524331114025138,0.06242014509624588,0.9324532680345007
twolocal,entangled,twolocal,overlap,2,1,7,7,11,92,0.13326787948608398,0.5397515891606757,0.6528513603638779,0.06231268205113459,0.9324820489743613
