enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,3,2,14,14,0,0,0.0,0.7376933953414003,0.4317230840881837,0.4048515608167818,0.4316409976684828
twolocal,entangled,twolocal,renyi,3,2,14,14,1,4,0.0042400360107421875,0.7403569030430774,0.5160539212760272,0.37311002745266497,0.5451672971486852
twolocal,entangled,twolocal,renyi,3,2,14,14,2,11,0.02862405776977539,0.7407896369154896,0.5165085148599907,0.34852016337707525,0.5702310137744506
twolocal,entangled,twolocal,renyi,3,2,14,14,3,19,0.04570317268371582,0.4854070142207084,0.8432406464953759,0.259807809323688,0.6517508643572109
twolocal,entangled,twolocal,renyi,3,2,14,14,4,29,0.08294510841369629,0.4921653402355342,0.8265119835346778,0.10914146708386094,0.6846207026525511
twolocal,entangled,twolocal,renyi,3,2,14,14,5,40,0.11931514739990234,0.5823806240018083,0.7184855611470025,0.16963344514099754,0.7300103951498627
twolocal,entangled,twolocal,renyi,3,2,14,14,6,50,0.15602612495422363,0.5781922592762375,0.7237138630965111,0.2058700558469868,0.7381468219137858
twolocal,entangled,twolocal,renyi,3,2,14,14,7,62,0.2074141502380371,0.6158830030762488,0.6805969512626924,0.19242784739825558,0.7530251841445093
twolocal,entangled,twolocal,renyi,3,2,14,14,8,76,0.28267502784729004,0.6675386699478965,0.6148915825942174,0.21629034384445348,0.7536294615666761
twolocal,entangled,twolocal,renyi,3,2,14,14,9,93,0.3923220634460449,0.615810586733411,0.6764485660706765,0.22299187301987455,0.8027339674179779
twolocal,entangled,twolocal,renyi,3,2,14,14,10,108,0.4971582889556885,0.5963966807707402,0.7007319323301789,0.20291713880311152,0.8093143264983635
twolocal,entangled,twolocal,renyi,3,2,14,14,11,127,0.6341421604156494,0.5702041292963402,0.7366586080116327,0.1509533103430839,0.8291512271304167
twolocal,entangled,twolocal,renyi,3,2,14,14,12,143,0.7528572082519531,0.563269058503226,0.744816689264925,0.15089201931756469,0.8303950492941304
twolocal,entangled,twolocal,renyi,3,2,14,14,13,162,0.9131143093109131,0.558539148734524,0.7557368905525632,0.14936302219859832,0.834840404739257
twolocal,entangled,twolocal,renyi,3,2,14,14,14,180,1.0808303356170654,0.551274082525353,0.7627437256549712,0.14722575779404992,0.8363040166228293
twolocal,entangled,twolocal,renyi,3,2,14,14,15,199,1.2523882389068604,0.5474201758111774,0.7660881086480033,0.15062819296008223,0.8366272984384315
twolocal,entangled,twolocal,renyi,3,2,14,14,16,221,1.4640302658081055,0.5149742371620593,0.803921240360782,0.12734796163314824,0.8396303956918281
