enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,overlap,4,2,1,1,0,0.0,0.6050163441530125,0.5841057879185216,0.5584541479937293,0.3136234700418966
twolocal,entangled,twolocal,overlap,4,2,1,1,1,0.014123916625976562,0.6050163441530124,0.5841057879185226,0.497021813949088,0.4160765540253016
twolocal,entangled,twolocal,overlap,4,2,1,1,2,0.255922794342041,0.6050163441530125,0.5841057879185263,0.1486889005450449,0.4627599961421852
twolocal,entangled,twolocal,overlap,4,2,1,1,3,8.765567779541016,0.6050163441530121,0.5841057879185256,0.14378223369107174,0.4825118283725584
