enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity,maxpoolgradient
twolocal,entangled,twolocal,renyi,1,1,3,3,0,0,0.0,0.9908336958688486,0.029368618715117076,0.32082063815700496,0.8180198945040672,1.617675026774333
twolocal,entangled,twolocal,renyi,1,1,3,3,1,3,0.00020003318786621094,0.9908336958688486,0.029368618715117423,0.06239272370658783,0.9219046704987977,2.0621780587271257
twolocal,entangled,twolocal,renyi,1,1,3,3,2,10,0.0008540153503417969,0.9654370964277472,0.08850903678632027,0.03986137962964395,0.9758672306659908,0.4804022007516968
twolocal,entangled,twolocal,renyi,1,1,3,3,3,20,0.002111196517944336,0.8755401472701787,0.2449534860243976,0.016329351026172084,0.9958113795423034,0.46350401072420316
twolocal,entangled,twolocal,renyi,1,1,3,3,4,29,0.0035161972045898438,0.7900128471441296,0.3653338315167237,2.627846523717281e-9,1.0000000000000002,1.472137172986745e-7
