enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,overlap,4,2,5,5,0,0,0.0,0.6383534973038189,0.5475799237669574,0.7758256161300489,0.3422150152642337
twolocal,entangled,twolocal,overlap,4,2,5,5,1,5,0.048735857009887695,0.6383534973038187,0.5475799237669571,0.6312269110605639,0.4216739153376122
twolocal,entangled,twolocal,overlap,4,2,5,5,2,10,0.09320688247680664,0.6383534973038186,0.5475799237669562,0.5810159104003927,0.43472536444487797
twolocal,entangled,twolocal,overlap,4,2,5,5,3,17,0.3190898895263672,0.6383534973038185,0.5475799237669581,0.5138018062491815,0.45292001693323175
twolocal,entangled,twolocal,overlap,4,2,5,5,4,24,0.598430871963501,0.6383534973038186,0.547579923766954,0.5035964966562356,0.46647147324656824
twolocal,entangled,twolocal,overlap,4,2,5,5,5,33,0.9708859920501709,0.6383534973038182,0.5475799237669566,0.5059475065600575,0.48377253893619016
twolocal,entangled,twolocal,overlap,4,2,5,5,6,43,1.4460399150848389,0.6383534973038185,0.5475799237669563,0.4460961820466395,0.4997780256707009
twolocal,entangled,twolocal,overlap,4,2,5,5,7,55,1.8872759342193604,0.6383534973038186,0.5475799237669556,0.3611607828135315,0.5222359742275913
twolocal,entangled,twolocal,overlap,4,2,5,5,8,67,2.629706859588623,0.638353497303819,0.5475799237669526,0.3581704402172728,0.5324305418043023
twolocal,entangled,twolocal,overlap,4,2,5,5,9,79,3.5201127529144287,0.638353497303819,0.5475799237669571,0.32997716844967107,0.5425704737475614
twolocal,entangled,twolocal,overlap,4,2,5,5,10,92,4.926833629608154,0.6383534973038184,0.5475799237669589,0.3259164597980873,0.5506396987447068
twolocal,entangled,twolocal,overlap,4,2,5,5,11,103,6.027934789657593,0.6383534973038192,0.5475799237669591,0.3405318826288672,0.5552768104064645
twolocal,entangled,twolocal,overlap,4,2,5,5,12,116,7.736594915390015,0.6383534973038186,0.5475799237669527,0.350710512762031,0.5598496037935288
twolocal,entangled,twolocal,overlap,4,2,5,5,13,128,9.189266920089722,0.6383534973038183,0.5475799237669542,0.34765291332820997,0.5632525123096892
twolocal,entangled,twolocal,overlap,4,2,5,5,14,140,10.651676893234253,0.6383534973038194,0.5475799237669527,0.34390396297534315,0.5650435169278826
twolocal,entangled,twolocal,overlap,4,2,5,5,15,152,12.155663967132568,0.6383534973038191,0.5475799237669585,0.33485328473748766,0.5663783303998997
twolocal,entangled,twolocal,overlap,4,2,5,5,16,168,14.178920030593872,0.647210144027139,0.5442649217765752,0.27626414781897257,0.5776024553575088
twolocal,entangled,twolocal,overlap,4,2,5,5,17,193,19.17440104484558,0.4134155033594083,1.058517766244283,0.20575040422251556,0.6503989715401236
twolocal,entangled,twolocal,overlap,4,2,5,5,18,209,22.401777982711792,0.3473718841535994,1.192833017746761,0.1651697911237584,0.6645038830810153
twolocal,entangled,twolocal,overlap,4,2,5,5,19,228,26.633098125457764,0.33740358734641007,1.2135651455239724,0.2290129303038014,0.7002413739759
twolocal,entangled,twolocal,overlap,4,2,5,5,20,245,29.415993213653564,0.3338209892680015,1.223033974768207,0.27281134311938016,0.7096158086376161
twolocal,entangled,twolocal,overlap,4,2,5,5,21,261,32.04937505722046,0.33187902027681665,1.2267545607036783,0.2349802359102623,0.7128330370914053
twolocal,entangled,twolocal,overlap,4,2,5,5,22,281,36.95105814933777,0.2816425580322683,1.3227617243185266,0.15370243894961674,0.7243480912345727
twolocal,entangled,twolocal,overlap,4,2,5,5,23,297,40.94424915313721,0.27855548853683254,1.3293821938789725,0.14319815842506856,0.7293710083105234
twolocal,entangled,twolocal,overlap,4,2,5,5,24,317,44.97738313674927,0.2775826232053102,1.3306690181582947,0.21742934888798487,0.7373390446494744
twolocal,entangled,twolocal,overlap,4,2,5,5,25,335,48.61703610420227,0.2764852996824047,1.3328482109213855,0.2155263130790306,0.7402033597999239
twolocal,entangled,twolocal,overlap,4,2,5,5,26,356,54.34773588180542,0.2718233951518409,1.342092192595166,0.20176074501929356,0.7445924014859061
twolocal,entangled,twolocal,overlap,4,2,5,5,27,376,60.33942198753357,0.27193716219547936,1.341691305698455,0.19318282541191734,0.7460101921834192
twolocal,entangled,twolocal,overlap,4,2,5,5,28,395,63.82181906700134,0.2719977784945714,1.3417084438020965,0.1887043904347307,0.7471134122531751
twolocal,entangled,twolocal,overlap,4,2,5,5,29,414,69.86771488189697,0.2716713207286125,1.3425182811365186,0.189351966631236,0.7477861234729372
twolocal,entangled,twolocal,overlap,4,2,5,5,30,433,75.97856879234314,0.2733110779976545,1.3394327791713403,0.18224006835114434,0.7491464180425682
twolocal,entangled,twolocal,overlap,4,2,5,5,31,457,81.09717988967896,0.27332613724376376,1.3391522984396989,0.17934534372161587,0.7518817445042091
twolocal,entangled,twolocal,overlap,4,2,5,5,32,479,87.64375281333923,0.27367536210583676,1.3385283786586863,0.18210495966487342,0.7525921565938878
twolocal,entangled,twolocal,overlap,4,2,5,5,33,501,94.16589283943176,0.27273356084951955,1.3402521341060216,0.1805402355695823,0.7531679564823764
twolocal,entangled,twolocal,overlap,4,2,5,5,34,524,100.67686891555786,0.2716811542342001,1.342447212280109,0.17512975279947662,0.7538425833466994
twolocal,entangled,twolocal,overlap,4,2,5,5,35,545,108.77034783363342,0.2723363277819764,1.3410865926078173,0.17329168082682714,0.7545854646382898
twolocal,entangled,twolocal,overlap,4,2,5,5,36,569,114.99026775360107,0.27165294978931115,1.3422222802677242,0.17259036568311137,0.7557161016984126
twolocal,entangled,twolocal,overlap,4,2,5,5,37,593,124.4663758277893,0.27218879446850036,1.3412519970755628,0.17203501247613243,0.7572686014327366
twolocal,entangled,twolocal,overlap,4,2,5,5,38,615,131.9773988723755,0.27237817948788984,1.340859373973574,0.17073480026831006,0.757779196397409
twolocal,entangled,twolocal,overlap,4,2,5,5,39,640,140.98859405517578,0.27310056788160564,1.3394763393204117,0.16465652194126373,0.7592074717924837
twolocal,entangled,twolocal,overlap,4,2,5,5,40,666,151.83236122131348,0.2728530848205785,1.340193779146595,0.16352931496955023,0.7600616460334023
twolocal,entangled,twolocal,overlap,4,2,5,5,41,692,161.16678309440613,0.27340901167632764,1.3390049014106657,0.16356830632251085,0.7605936503676418
twolocal,entangled,twolocal,overlap,4,2,5,5,42,717,172.06761026382446,0.27136794253151947,1.3432365615700934,0.16161621611835864,0.7610146575418656
twolocal,entangled,twolocal,overlap,4,2,5,5,43,743,181.84543132781982,0.27178170944318586,1.342512345179581,0.16369418500740143,0.7613738732444806
twolocal,entangled,twolocal,overlap,4,2,5,5,44,767,192.65069937705994,0.27178508652797567,1.3426875017940891,0.16406575671978635,0.7617586931237447
twolocal,entangled,twolocal,overlap,4,2,5,5,45,794,204.27031445503235,0.27581555865474106,1.3344281827603526,0.1693713969617246,0.762676224837736
twolocal,entangled,twolocal,overlap,4,2,5,5,46,821,215.0329074859619,0.2736207454929472,1.338809975236646,0.1704090329773854,0.7631875758115919
twolocal,entangled,twolocal,overlap,4,2,5,5,47,847,227.84853839874268,0.2734394914275405,1.3391962689638637,0.1672830647707627,0.7635774532228751
twolocal,entangled,twolocal,overlap,4,2,5,5,48,874,237.96602129936218,0.27307986081790514,1.3400712511756372,0.16650044539071324,0.764069197402091
twolocal,entangled,twolocal,overlap,4,2,5,5,49,902,251.4567391872406,0.2715258622209535,1.3431045406301607,0.162271836409968,0.7646113432595725
twolocal,entangled,twolocal,overlap,4,2,5,5,50,928,261.0927951335907,0.2712792809840073,1.3436971681139134,0.16207920072340393,0.7650344666481914
twolocal,entangled,twolocal,overlap,4,2,5,5,51,953,273.7721872329712,0.2717663138283701,1.3426501888956348,0.16013738177838166,0.7652815225758585
twolocal,entangled,twolocal,overlap,4,2,5,5,52,980,288.2450430393219,0.2719083037068407,1.3424545338455975,0.16272258518117177,0.7655664783150008
twolocal,entangled,twolocal,overlap,4,2,5,5,53,1007,301.558895111084,0.27234502678946054,1.3416519546330719,0.16095865130495016,0.7657891416628355
twolocal,entangled,twolocal,overlap,4,2,5,5,54,1034,316.5506582260132,0.2720591398174589,1.3423677049714156,0.15805184617353202,0.7659994619402768
twolocal,entangled,twolocal,overlap,4,2,5,5,55,1062,332.0273382663727,0.27195645917534894,1.3425758142142326,0.16363176435231322,0.7662997767093741
twolocal,entangled,twolocal,overlap,4,2,5,5,56,1093,345.36915922164917,0.2703925900055063,1.3455829598126063,0.1626544706395088,0.7666806029495257
twolocal,entangled,twolocal,overlap,4,2,5,5,57,1125,364.3880341053009,0.2701083615869949,1.3461418646300338,0.164473459593328,0.7669216735517292
twolocal,entangled,twolocal,overlap,4,2,5,5,58,1156,384.9893250465393,0.27014406643580413,1.3459412445145218,0.16643158606706732,0.7673043161361557
twolocal,entangled,twolocal,overlap,4,2,5,5,59,1189,404.5013749599457,0.2695675369500229,1.347017415682331,0.15991061986434946,0.7676453190779504
twolocal,entangled,twolocal,overlap,4,2,5,5,60,1223,419.8628969192505,0.2695491867224848,1.346931830148839,0.1583021085576808,0.767897381317932
twolocal,entangled,twolocal,overlap,4,2,5,5,61,1256,437.970575094223,0.2692567591966917,1.3475450193333562,0.15848316952506888,0.768131129164912
twolocal,entangled,twolocal,overlap,4,2,5,5,62,1290,459.50855708122253,0.2698017490068371,1.3462904171219572,0.15594037275586828,0.7683152261981075
twolocal,entangled,twolocal,overlap,4,2,5,5,63,1325,482.0186810493469,0.26971664948893315,1.346507628110904,0.16018005767225482,0.768473605571112
twolocal,entangled,twolocal,overlap,4,2,5,5,64,1362,503.8345100879669,0.2703881651612273,1.3450846045300335,0.16107453864398064,0.7687321190968364
twolocal,entangled,twolocal,overlap,4,2,5,5,65,1395,520.9860031604767,0.27017695383429563,1.3456140012247662,0.1631871175554758,0.768843129789257
twolocal,entangled,twolocal,overlap,4,2,5,5,66,1428,537.3108251094818,0.26998156330018597,1.3460745891345756,0.16161020422316752,0.7689868347009844
twolocal,entangled,twolocal,overlap,4,2,5,5,67,1464,558.5613911151886,0.26980726658275367,1.346349010838363,0.16010373923448543,0.7691689353534634
twolocal,entangled,twolocal,overlap,4,2,5,5,68,1499,581.4588451385498,0.269489826037051,1.3469542321255048,0.15826336444987105,0.7693541176119393
twolocal,entangled,twolocal,overlap,4,2,5,5,69,1535,606.1287441253662,0.26974389494424106,1.3464699810992702,0.16112033332332926,0.7694367875153496
twolocal,entangled,twolocal,overlap,4,2,5,5,70,1572,631.3212401866913,0.2695138026493351,1.346952835445896,0.15957423493587589,0.7695587783951433
twolocal,entangled,twolocal,overlap,4,2,5,5,71,1610,658.1540732383728,0.2696715231506941,1.3465739374927934,0.16094526603832496,0.7696275510490145
twolocal,entangled,twolocal,overlap,4,2,5,5,72,1648,685.3879652023315,0.2692994194884723,1.3472316817966679,0.16022613946006017,0.769733814624349
twolocal,entangled,twolocal,overlap,4,2,5,5,73,1687,712.3829991817474,0.26889281392938197,1.3480447781931968,0.1592952503849007,0.7698331769854059
twolocal,entangled,twolocal,overlap,4,2,5,5,74,1727,738.777939081192,0.2687245073049657,1.3483979205928143,0.15954552769649022,0.7699033140734204
twolocal,entangled,twolocal,overlap,4,2,5,5,75,1764,764.7268741130829,0.26857824870321867,1.3488399463875125,0.15891888854779324,0.7699627722365123
twolocal,entangled,twolocal,overlap,4,2,5,5,76,1804,795.0695662498474,0.26860256723654247,1.3488022722297828,0.15977329212833186,0.770007776345707
twolocal,entangled,twolocal,overlap,4,2,5,5,77,1841,827.579832315445,0.26890465122175544,1.3480868781174329,0.16099519660359096,0.7701319134828243
twolocal,entangled,twolocal,overlap,4,2,5,5,78,1880,861.461971282959,0.26871318279720796,1.348487620756817,0.1609454549644146,0.7701733212445132
twolocal,entangled,twolocal,overlap,4,2,5,5,79,1922,894.3812353610992,0.268504599435351,1.348885982537782,0.1616277558034067,0.7702171563651282
twolocal,entangled,twolocal,overlap,4,2,5,5,80,1967,925.8744235038757,0.26855647356548046,1.3486869689734389,0.1614672599265927,0.7702782897936132
twolocal,entangled,twolocal,overlap,4,2,5,5,81,2012,955.226687669754,0.26852309527793894,1.3488351004620747,0.16100936972459529,0.7703349359689461
twolocal,entangled,twolocal,overlap,4,2,5,5,82,2064,991.7265067100525,0.2683187165947108,1.3491987558173277,0.1598225939774028,0.770399460530485
twolocal,entangled,twolocal,overlap,4,2,5,5,83,2116,1032.1301827430725,0.2682837699491294,1.349283703672561,0.16020926401634777,0.7704230298094026
twolocal,entangled,twolocal,overlap,4,2,5,5,84,2166,1070.2350885868073,0.26830383032152727,1.3492832642069992,0.16122022262330649,0.7704517429733911
