enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity,maxpoolgradient
twolocal,entangled,twolocal,overlap,2,1,17,17,0,0,0.0,0.866246286937407,0.25896359012438214,0.27156791471400443,0.5859815420186165,0.44776219415697927
twolocal,entangled,twolocal,overlap,2,1,17,17,1,5,0.002064943313598633,0.8662462869374069,0.2589635901243845,0.27156791471400443,0.795121798448841,0.4800725883540053
twolocal,entangled,twolocal,overlap,2,1,17,17,2,10,0.003248929977416992,0.8662462869374072,NaN,0.11521381532700321,0.8678646493074029,0.3433099164544308
twolocal,entangled,twolocal,overlap,2,1,17,17,3,15,0.004583835601806641,0.8924740829794937,0.21866972439217647,0.10431664566413035,0.897087800053164,0.22712313539070864
twolocal,entangled,twolocal,overlap,2,1,17,17,4,22,0.007553815841674805,0.7766022740213958,0.3827807057557274,0.06546540014141124,0.9227559334011789,0.1547978017273368
twolocal,entangled,twolocal,overlap,2,1,17,17,5,29,0.010245800018310547,0.7024222337051998,0.4742067964794926,0.03427894278252766,0.9299585538939932,0.07322510921746903
twolocal,entangled,twolocal,overlap,2,1,17,17,6,37,0.014393806457519531,0.7088714393744945,0.4665599128139032,0.029069762573264282,0.9314719829016118,0.0547094441620646
twolocal,entangled,twolocal,overlap,2,1,17,17,7,46,0.019789695739746094,0.7040344309396065,0.4723000516161022,0.02178982605183913,0.9331348457475821,0.013899642448517775
twolocal,entangled,twolocal,overlap,2,1,17,17,8,55,0.026683568954467773,0.7050575764121678,0.4710883085743315,0.024293763575925192,0.9332064922969028,0.006209925522579939
twolocal,entangled,twolocal,overlap,2,1,17,17,9,65,0.035683393478393555,0.7036278136882762,0.47278126057409553,0.02584775681344746,0.9332217245839048,0.0026134257429870477
twolocal,entangled,twolocal,overlap,2,1,17,17,10,75,0.06134939193725586,0.7031268499348619,0.4733738421514868,0.026910847183095235,0.9332252801912098,0.0010158169608964597
twolocal,entangled,twolocal,overlap,2,1,17,17,11,87,0.0828542709350586,0.7031577515581583,0.47333729811679714,0.02691497776157538,0.933226205858218,1.6274545935217964e-7
