enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity,maxpoolgradient
twolocal,entangled,twolocal,renyi,3,2,17,17,0,0,0.0,0.8465500475848003,0.2878024700547589,0.4515433396159297,0.4089034000988483,0.7626538518310647
twolocal,entangled,twolocal,renyi,3,2,17,17,1,5,0.006432056427001953,0.8465500475848001,0.28780247005476156,0.33895568535866094,0.4884597797411107,1.2285896779870815
twolocal,entangled,twolocal,renyi,3,2,17,17,2,10,0.013169050216674805,0.8465500475848002,0.28780247005475945,0.41163509454058733,0.5179851491613189,1.3332809009774151
twolocal,entangled,twolocal,renyi,3,2,17,17,3,17,0.04873800277709961,0.8465500475848006,0.2878024700547627,0.4345313217785713,0.5367988057486249,0.9467107026110976
twolocal,entangled,twolocal,renyi,3,2,17,17,4,26,0.07286882400512695,0.8465500475848005,0.28780247005476167,0.45803673579763354,0.5373087011336247,0.655813892084299
twolocal,entangled,twolocal,renyi,3,2,17,17,5,37,0.11014270782470703,0.8465500475848005,0.2878024700547619,0.42315123072817246,0.5661207622140332,0.5961489247385401
twolocal,entangled,twolocal,renyi,3,2,17,17,6,49,0.1519486904144287,0.8465500475848003,0.2878024700547596,0.37740932993981097,0.5818382910400866,0.8455448518319901
twolocal,entangled,twolocal,renyi,3,2,17,17,7,62,0.2240757942199707,0.8465500475848002,0.287802470054763,0.4020400941982472,0.6643523373028016,1.1507417311779655
twolocal,entangled,twolocal,renyi,3,2,17,17,8,78,0.32289958000183105,0.8465500475848005,0.2878024700547589,0.2973590827373354,0.7135533014558544,1.1171438935306364
twolocal,entangled,twolocal,renyi,3,2,17,17,9,95,0.42792749404907227,0.8465500475848,0.28780247005476056,0.22832632081078874,0.7295216381480436,1.3311728524721158
twolocal,entangled,twolocal,renyi,3,2,17,17,10,113,0.5677306652069092,0.8465500475848008,0.287802470054756,0.1306009789041706,0.7450296487867833,1.253978381766027
twolocal,entangled,twolocal,renyi,3,2,17,17,11,128,0.6807947158813477,0.8465500475847996,0.2878024700547605,0.15521312818102312,0.7444232114588635,1.06867514292597
twolocal,entangled,twolocal,renyi,3,2,17,17,12,145,0.8139286041259766,0.8465500475848009,0.28780247005476084,0.17514804124454875,0.7461853138681245,1.0676497498974706
twolocal,entangled,twolocal,renyi,3,2,17,17,13,165,1.0049846172332764,0.6207098537530436,0.686908309517,0.09580144004874594,0.836882041976797,0.3670107073632155
twolocal,entangled,twolocal,renyi,3,2,17,17,14,183,1.1529126167297363,0.6240236971342862,0.6812630372059293,0.09146588825679822,0.8368504809212451,0.3405939835062659
twolocal,entangled,twolocal,renyi,3,2,17,17,15,202,1.3226757049560547,0.6039580004654586,0.7074519351634891,0.09286196615715456,0.8399650850945509,0.3774926817072572
twolocal,entangled,twolocal,renyi,3,2,17,17,16,224,1.5473005771636963,0.5866822555800598,0.7282102709576583,0.09541256314273755,0.8424631145080025,0.34866331801466405
twolocal,entangled,twolocal,renyi,3,2,17,17,17,248,1.8135206699371338,0.5694178776700366,0.7491698884299433,0.08795615269232568,0.8483416439418533,0.3961874850109333
twolocal,entangled,twolocal,renyi,3,2,17,17,18,271,2.068875789642334,0.5617189745405393,0.7605184340537972,0.09449134700386057,0.8513536149441951,0.31034131937767173
twolocal,entangled,twolocal,renyi,3,2,17,17,19,293,2.306865692138672,0.5542170990544966,0.7682743217990524,0.0929611129860085,0.8513220355120897,0.3102833355636574
twolocal,entangled,twolocal,renyi,3,2,17,17,20,318,2.6171257495880127,0.5663326223371717,0.7549725564453791,0.09454715801934745,0.8516277765520506,0.2505184585060556
twolocal,entangled,twolocal,renyi,3,2,17,17,21,373,3.4659457206726074,0.5526307542753253,0.8141865655546197,0.08209578105965365,0.8755623804756929,0.4358466351637539
twolocal,entangled,twolocal,renyi,3,2,17,17,22,400,3.8715715408325195,0.4899781715101053,0.9489841164600005,0.06205299456031955,0.878025089463,0.2292148802159913
twolocal,entangled,twolocal,renyi,3,2,17,17,23,437,4.481505632400513,0.4783159160780255,0.9684760373765,0.08083276901557002,0.8823348681579922,0.1426979296932252
twolocal,entangled,twolocal,renyi,3,2,17,17,24,465,4.915026664733887,0.47550091218965745,0.9727136699248082,0.0772182348070673,0.883685677659734,0.11065775993043075
twolocal,entangled,twolocal,renyi,3,2,17,17,25,495,5.38511061668396,0.4776334737019699,0.9701467011139124,0.08351484408213668,0.8857737000385156,0.12148120839949123
twolocal,entangled,twolocal,renyi,3,2,17,17,26,582,6.975666522979736,0.4295470570805957,1.0600620048217562,0.05617933954501713,0.9067928352668166,0.13769708221113092
