enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,4,2,1,1,0,0.0,0.6050163441530125,0.5841057879185216,0.5584541479937293,0.3136234700418966
twolocal,entangled,twolocal,renyi,4,2,1,1,1,0.02279496192932129,0.7197674624961978,0.5085691766704066,0.49702181394908795,0.3627227708954912
twolocal,entangled,twolocal,renyi,4,2,1,1,2,0.06509613990783691,0.7063290170390301,0.5184744627537307,0.4970218139490879,0.3688185053440999
twolocal,entangled,twolocal,renyi,4,2,1,1,3,0.10854101181030273,0.7010248840479988,0.5223403017107151,0.5214797147113315,0.378946011911412
twolocal,entangled,twolocal,renyi,4,2,1,1,4,0.18082904815673828,0.6536813840376475,0.5555130926589069,0.5200021711445167,0.3953557310631045
twolocal,entangled,twolocal,renyi,4,2,1,1,5,0.29680609703063965,0.639571797408171,0.5647777739106488,0.5106354425168115,0.3958849241626482
twolocal,entangled,twolocal,renyi,4,2,1,1,6,0.4167060852050781,0.6326093596630062,0.5691885480796424,0.44355530547183764,0.41078182706751126
twolocal,entangled,twolocal,renyi,4,2,1,1,7,0.7855422496795654,0.6097035720938613,0.582291194329704,0.4672780131562011,0.4365279091875893
twolocal,entangled,twolocal,renyi,4,2,1,1,8,1.0012333393096924,0.6124822181155092,0.5809075089787583,0.3547031927726916,0.4608244322868048
twolocal,entangled,twolocal,renyi,4,2,1,1,9,1.2738392353057861,0.617519949301944,0.5781870959489479,0.3523665893107875,0.4787193631996922
twolocal,entangled,twolocal,renyi,4,2,1,1,10,1.5742313861846924,0.6211012789229641,0.5761436849147176,0.3525530620877055,0.48352513445037787
twolocal,entangled,twolocal,renyi,4,2,1,1,11,1.967942476272583,0.6237330959084728,0.5745992207799362,0.2536973195147651,0.4979907033532951
twolocal,entangled,twolocal,renyi,4,2,1,1,12,2.4069764614105225,0.6244428354761622,0.5741773626300204,0.24523877852058384,0.5049232917125978
twolocal,entangled,twolocal,renyi,4,2,1,1,13,2.8418734073638916,0.6296526672212358,0.5710208493093912,0.21488259845742236,0.5113173586467932
