enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,4,3,4,4,0,0,0.0,0.5448621621279764,0.6475888436909966,0.6700327362901816,0.3481236809091236
twolocal,entangled,twolocal,renyi,4,3,4,4,1,5,0.03833317756652832,0.5448621621279764,0.6475888436909962,0.44765733128394647,0.36827776959746505
twolocal,entangled,twolocal,renyi,4,3,4,4,2,10,0.1184232234954834,0.5448621621279766,0.6475888436909963,0.26683771044390137,0.3952356326908889
twolocal,entangled,twolocal,renyi,4,3,4,4,3,17,0.2798163890838623,0.5448621621279763,0.6475888436909983,0.27551881595059535,0.41271271092010064
twolocal,entangled,twolocal,renyi,4,3,4,4,4,25,0.5265583992004395,0.5448621621279763,0.6475888436910174,0.24270766497664842,0.42909649498461844
twolocal,entangled,twolocal,renyi,4,3,4,4,5,35,0.9161043167114258,0.5448621621279768,0.6475888436909955,0.2813638318388828,0.4423450434403468
twolocal,entangled,twolocal,renyi,4,3,4,4,6,46,1.4905073642730713,0.5448621621279763,0.6475888436909956,0.2896665929155084,0.45970613065329524
twolocal,entangled,twolocal,renyi,4,3,4,4,7,58,2.183298349380493,0.5448621621279766,0.6475888436909982,0.3148002187237179,0.4666015319443395
twolocal,entangled,twolocal,renyi,4,3,4,4,8,71,3.049415349960327,0.5448621621279768,0.6475888436909977,0.32578949529109086,0.47653092989307283
twolocal,entangled,twolocal,renyi,4,3,4,4,9,84,3.964935302734375,0.5372147334565833,0.6713505940832347,0.38314321329085715,0.5044926928156008
twolocal,entangled,twolocal,renyi,4,3,4,4,10,98,5.119993209838867,0.5331136404179592,0.6821182895691433,0.36971052553790384,0.5186493739478509
twolocal,entangled,twolocal,renyi,4,3,4,4,11,112,6.434927225112915,0.5332525838641405,0.6818074350628827,0.35854773448289967,0.5214410764676636
twolocal,entangled,twolocal,renyi,4,3,4,4,12,128,8.021062135696411,0.5335633640618946,0.6810088594499392,0.33344452014936965,0.5242474863624337
twolocal,entangled,twolocal,renyi,4,3,4,4,13,152,10.756226301193237,0.5356179679331385,0.6755229745053432,0.17969056190935376,0.5613041609096875
twolocal,entangled,twolocal,renyi,4,3,4,4,14,170,12.943212270736694,0.5344001888125652,0.6787516671996199,0.22115199008588596,0.5729633322424333
twolocal,entangled,twolocal,renyi,4,3,4,4,15,189,15.497058153152466,0.5359489223239784,0.6746688733822576,0.22542444754599109,0.5763087496502013
twolocal,entangled,twolocal,renyi,4,3,4,4,16,209,18.46804904937744,0.5176762338374409,0.7187666682137213,0.2177015708055035,0.6061122932789832
twolocal,entangled,twolocal,renyi,4,3,4,4,17,229,21.599441051483154,0.5108213779195664,0.7341843430701186,0.22042584069579363,0.6131445259167074
twolocal,entangled,twolocal,renyi,4,3,4,4,18,251,25.069263219833374,0.5154913369799325,0.7240182621432932,0.23271044072581443,0.613141846547221
twolocal,entangled,twolocal,renyi,4,3,4,4,19,273,28.665131330490112,0.5074776643046824,0.741207579361382,0.2218410078663686,0.6180428083652478
twolocal,entangled,twolocal,renyi,4,3,4,4,20,295,32.398009300231934,0.505316365129846,0.7457655774129964,0.22147061272226645,0.6206941499287769
twolocal,entangled,twolocal,renyi,4,3,4,4,21,318,36.56532049179077,0.5046715349122564,0.747073313373269,0.22232454421033074,0.6215712605718353
twolocal,entangled,twolocal,renyi,4,3,4,4,22,345,41.949050426483154,0.4274309080873265,0.9737436196403825,0.2058098057156279,0.6643248504942908
twolocal,entangled,twolocal,renyi,4,3,4,4,23,370,46.724770307540894,0.41860480571562086,0.9977202049918144,0.20357359680853293,0.6653580000365699
twolocal,entangled,twolocal,renyi,4,3,4,4,24,394,51.50399446487427,0.41597857499438473,1.0035499822776184,0.20028239484967109,0.6657134118828592
twolocal,entangled,twolocal,renyi,4,3,4,4,25,419,56.63670539855957,0.41290237712622546,1.0115882904924995,0.19199404756275543,0.6664895445395873
