enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,overlap,1,1,1,1,0,0,0.0,0.7356831166274331,0.4341896634632033,0.02519950334436062,0.9647837425596764
twolocal,entangled,twolocal,overlap,1,1,1,1,1,3,0.02422308921813965,0.7792372870898557,0.37937765341286006,0.05421505835154547,0.9866297360418891
twolocal,entangled,twolocal,overlap,1,1,1,1,2,8,0.025016069412231445,0.7117287325949803,0.4631552770239673,0.06847123077562725,0.995727867552922
twolocal,entangled,twolocal,overlap,1,1,1,1,3,14,0.02707815170288086,0.7900128384162299,0.36533384297676497,3.712854731996451e-9,1.0
twolocal,entangled,twolocal,overlap,1,1,1,1,3,14,0.029140233993530273,0.7900128384162299,0.36533384297676497,3.712854731996451e-9,1.0
