enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,zipf_1.0,twolocal,renyi,2,2,1,1,0,0,0.0,0.9999999999999991,-3.0531133177191805e-16,0.47082980427930915,0.6166929361212888
twolocal,zipf_1.0,twolocal,renyi,2,2,1,1,1,4,0.0008878707885742188,0.9999999999999992,4.163336342344337e-16,0.4946152832317747,0.7048288031326428
twolocal,zipf_1.0,twolocal,renyi,2,2,1,1,2,10,0.003536701202392578,0.9999999999999989,-2.7755575615628914e-16,0.43020800264550924,0.7115344934131798
twolocal,zipf_1.0,twolocal,renyi,2,2,1,1,3,17,0.008263587951660156,0.9999999999999989,NaN,0.3334648468091549,0.7210827130094466
twolocal,zipf_1.0,twolocal,renyi,2,2,1,1,4,27,0.015540599822998047,0.9999999999999992,6.661338147750939e-16,0.22488078274093828,0.7503736896126183
twolocal,zipf_1.0,twolocal,renyi,2,2,1,1,5,39,0.02659773826599121,0.9999999999999991,3.552713678800501e-15,0.12683079948542011,0.763807213150117
twolocal,zipf_1.0,twolocal,renyi,2,2,1,1,6,48,0.03497672080993652,0.9999999999999996,2.886579864025407e-15,0.09808497481386115,0.7643000178111494
