enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,2,0,16,16,0,0,0.0,1.0,NaN,0.553539966828763,0.38198535430294944
twolocal,entangled,twolocal,renyi,2,0,16,16,1,5,0.0009980201721191406,1.0,1.1102230246251565e-15,0.19803031699027032,0.5341429195704472
twolocal,entangled,twolocal,renyi,2,0,16,16,2,11,0.0014820098876953125,1.0,-8.881784197001252e-16,0.1781861080995047,0.5787731236624709
twolocal,entangled,twolocal,renyi,2,0,16,16,3,20,0.0032570362091064453,1.0,8.881784197001252e-16,0.2553018155874355,0.7906095983546889
twolocal,entangled,twolocal,renyi,2,0,16,16,4,29,0.004756927490234375,0.9999999999999992,-1.3322676295501878e-15,0.18409390888016786,0.8033394513953194
twolocal,entangled,twolocal,renyi,2,0,16,16,5,40,0.0074498653411865234,0.9999999999999999,-8.881784197001252e-16,0.10225263840055004,0.8266069633398174
twolocal,entangled,twolocal,renyi,2,0,16,16,6,49,0.008786916732788086,1.0,-1.7763568394002505e-15,0.09733967906288865,0.8266919235030881
