enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,3,3,19,19,0,0,0.0,0.5140680394398334,0.6790124173643497,0.4877896826458078,0.4369798046927726
twolocal,entangled,twolocal,renyi,3,3,19,19,1,4,0.012388944625854492,0.5276893719862157,0.6651965894191085,0.48778968264580763,0.4393301278080466
twolocal,entangled,twolocal,renyi,3,3,19,19,2,12,0.0928337574005127,0.6048962886194467,0.5842367678609139,0.638546880900281,0.5784009359562603
twolocal,entangled,twolocal,renyi,3,3,19,19,3,21,0.16766571998596191,0.6091684394286456,0.5796327347972142,0.6207885175114691,0.577898299602955
twolocal,entangled,twolocal,renyi,3,3,19,19,4,31,0.3036365509033203,0.5333851370491249,0.6593840751108739,0.4657424103521346,0.6330807484919552
twolocal,entangled,twolocal,renyi,3,3,19,19,5,41,0.4829826354980469,0.5563863746045279,0.6356511685932618,0.4569998635398247,0.6422355501644118
twolocal,entangled,twolocal,renyi,3,3,19,19,6,52,0.6855587959289551,0.5771450372883201,0.6138857236968549,0.42569297862246547,0.6493913639015062
twolocal,entangled,twolocal,renyi,3,3,19,19,7,63,1.055903673171997,0.5474134369253427,0.6449548817777406,0.35482230813063664,0.667430885851483
twolocal,entangled,twolocal,renyi,3,3,19,19,8,76,1.3648676872253418,0.5563769229089925,0.635661530700323,0.3261327761128149,0.6691567847397543
twolocal,entangled,twolocal,renyi,3,3,19,19,9,89,1.6897237300872803,0.5477574433798966,0.6450941111126345,0.31771262052261706,0.6741791003920843
twolocal,entangled,twolocal,renyi,3,3,19,19,10,103,2.098911762237549,0.559178704297711,0.6332692717909015,0.32496967608821514,0.6759023373400342
twolocal,entangled,twolocal,renyi,3,3,19,19,11,119,2.628588914871216,0.5663559569333247,0.6258953127106157,0.34011371921811523,0.6827483263608675
twolocal,entangled,twolocal,renyi,3,3,19,19,12,135,3.1492910385131836,0.5525491620919594,0.6408533333681039,0.3405446988772447,0.6873172886493275
twolocal,entangled,twolocal,renyi,3,3,19,19,13,152,3.7406880855560303,0.5479137425952896,0.6455485222972531,0.3425070543729227,0.6873556933342349
twolocal,entangled,twolocal,renyi,3,3,19,19,14,170,4.43030309677124,0.5448756643719401,0.6483907996343988,0.3282993886773012,0.6865020572730407
twolocal,entangled,twolocal,renyi,3,3,19,19,15,187,5.126742124557495,0.5432390629112104,0.6500686840208688,0.32906014251528226,0.6871124884186811
twolocal,entangled,twolocal,renyi,3,3,19,19,16,207,6.003164291381836,0.5401492308059572,0.6533743136177258,0.3227963521764733,0.6918526254622744
twolocal,entangled,twolocal,renyi,3,3,19,19,17,227,6.924995183944702,0.5420545580498447,0.6514114046904154,0.3043589062222286,0.6918935636014407
twolocal,entangled,twolocal,renyi,3,3,19,19,18,275,9.937515258789062,0.5026981441065722,0.6917507090366412,0.13974277984867298,0.7420027804885438
twolocal,entangled,twolocal,renyi,3,3,19,19,19,299,11.208149194717407,0.5010020194458936,0.6946148421928219,0.13683717948244295,0.7498275696393071
twolocal,entangled,twolocal,renyi,3,3,19,19,20,323,12.56197714805603,0.5000327598685439,0.6958666801764721,0.15402261581451923,0.7537817151300357
twolocal,entangled,twolocal,renyi,3,3,19,19,21,372,16.101677179336548,0.501553393680649,0.7002944248353697,0.20936105097880311,0.7774867714658081
twolocal,entangled,twolocal,renyi,3,3,19,19,22,398,17.939090251922607,0.5013887484516466,0.7002097981006054,0.1987878862504914,0.7800939969469385
