enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,2,1,2,2,0,0,0.0,0.5043351560994414,0.6888057381067496,0.35701462212321855,0.6355450092421013
twolocal,entangled,twolocal,renyi,2,1,2,2,1,5,0.020403146743774414,0.5929733978650839,0.5970539397462692,0.12959169727365893,0.7464569312673417
twolocal,entangled,twolocal,renyi,2,1,2,2,2,11,0.02149796485900879,0.6411353659365032,0.5444842961375653,0.12441925001278518,0.7420776569553498
twolocal,entangled,twolocal,renyi,2,1,2,2,3,18,0.02291083335876465,0.6740704675365148,0.507232743139399,0.1244192500127852,0.7285240086291204
twolocal,entangled,twolocal,renyi,2,1,2,2,4,28,0.025401830673217773,0.7457606195065628,NaN,0.19956919548937735,0.7441103937698308
twolocal,entangled,twolocal,renyi,2,1,2,2,5,39,0.02878880500793457,0.7575216371933653,NaN,0.19950495201873256,0.7977584807412794
twolocal,entangled,twolocal,renyi,2,1,2,2,6,52,0.03423666954040527,0.7312307864383367,NaN,0.19690846930982114,0.858987377485353
twolocal,entangled,twolocal,renyi,2,1,2,2,7,71,0.044223785400390625,0.7478843522566232,0.41912921891605015,0.12050647494088045,0.8936400687816811
twolocal,entangled,twolocal,renyi,2,1,2,2,8,84,0.053090810775756836,0.7249421549100488,0.44727308322168846,0.10848965541815475,0.8985632532509533
twolocal,entangled,twolocal,renyi,2,1,2,2,9,102,0.08558893203735352,0.6874160003155375,0.4918037312946921,0.09450713309789978,0.9241256043299823
twolocal,entangled,twolocal,renyi,2,1,2,2,10,120,0.09554195404052734,0.6298597207662671,0.5569850519763864,0.05784848616047149,0.9318806099961034
twolocal,entangled,twolocal,renyi,2,1,2,2,11,135,0.1045379638671875,0.6325064776411325,0.5540617736895384,0.05263998090277329,0.9322679770877076
