enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,overlap,3,2,1,1,0,0,0.0,0.7195791309328146,0.45374698455967716,0.5920328677749815,0.36481743584252474
twolocal,entangled,twolocal,overlap,3,2,1,1,1,4,0.023321866989135742,0.719579130932814,0.45374698455967777,0.35379040261911987,0.5412453448287675
twolocal,entangled,twolocal,overlap,3,2,1,1,2,153,0.1075439453125,0.7195791309328143,0.4537469845596766,0.35812160832232204,0.5935504969453861
twolocal,entangled,twolocal,overlap,3,2,1,1,3,1000,4.858926057815552,0.6880741769525213,0.5157074019724701,0.29024714919984057,0.6387660454901098
