enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity,maxpoolgradient
twolocal,entangled,twolocal,renyi,4,3,11,11,0,0,0.0,0.7025402879296396,0.4740672826571046,0.7182171799126489,0.28633752433889714,1.3800883877076218
twolocal,entangled,twolocal,renyi,4,3,11,11,1,4,0.08302688598632812,0.6333315354572706,0.576091321105169,0.7148071438865813,0.3163125378973233,0.5686088168832704
twolocal,entangled,twolocal,renyi,4,3,11,11,2,11,0.3085770606994629,0.67568406152779,0.5440734774897781,0.5455539864425274,0.3570357855475855,0.9160942328771772
twolocal,entangled,twolocal,renyi,4,3,11,11,3,18,0.5933132171630859,0.686939198579449,0.5336153463143447,0.5455539864425275,0.3657693553646475,0.8048280843809416
twolocal,entangled,twolocal,renyi,4,3,11,11,4,26,1.0034840106964111,0.5784129948090247,0.6696742175180442,0.5455539864425275,0.3677914518663773,0.6415724611721488
twolocal,entangled,twolocal,renyi,4,3,11,11,5,50,3.0389440059661865,0.5474392372125461,0.792643481881369,0.3756967809081431,0.5216761529957181,1.1090577251818106
twolocal,entangled,twolocal,renyi,4,3,11,11,6,61,3.964853048324585,0.5660279646326675,0.7682064032136606,0.369264810762518,0.5286138036379664,1.0077572409160074
twolocal,entangled,twolocal,renyi,4,3,11,11,7,72,5.005367994308472,0.5684860994211395,0.7640817946245719,0.39882727273055785,0.5436022903705127,0.7816167683076165
twolocal,entangled,twolocal,renyi,4,3,11,11,8,85,6.403095006942749,0.5896622215371071,0.7392473975107714,0.3792419616300113,0.5672794415557334,0.6765069545352389
twolocal,entangled,twolocal,renyi,4,3,11,11,9,100,8.34724497795105,0.6147953551009427,0.7106302972354762,0.3414298079635195,0.6058757093705845,0.8974523239396971
twolocal,entangled,twolocal,renyi,4,3,11,11,10,120,11.494400024414062,0.6108559172018739,0.7401137557333919,0.35021097426665887,0.6296070064648238,1.260422313712177
twolocal,entangled,twolocal,renyi,4,3,11,11,11,137,13.907026052474976,0.6072320825817434,0.7454728073959557,0.34532967310359086,0.6384388887577854,1.417588859624306
twolocal,entangled,twolocal,renyi,4,3,11,11,12,153,16.37333106994629,0.6127881382777058,0.7363985662510266,0.3402006027606237,0.6404910670334011,1.2453329982454786
twolocal,entangled,twolocal,renyi,4,3,11,11,13,171,19.57609510421753,0.6171390990388673,0.7306778126376114,0.3654809702810781,0.643383180732356,0.7148813433065805
twolocal,entangled,twolocal,renyi,4,3,11,11,14,191,23.345766067504883,0.6230676379891107,0.7267475194792762,0.3699046391797587,0.6540163649850648,0.6928603953700878
twolocal,entangled,twolocal,renyi,4,3,11,11,15,209,26.83259415626526,0.6256548384195361,0.7222327236911718,0.36454703227553586,0.6544211284820817,0.6709196320499612
twolocal,entangled,twolocal,renyi,4,3,11,11,16,229,30.878138065338135,0.6383887461831852,0.7048617229671531,0.3549663815798778,0.6541464325241082,0.7599700420096172
twolocal,entangled,twolocal,renyi,4,3,11,11,17,254,36.96673011779785,0.6337626525615696,0.7087608199711823,0.3560012739500923,0.6558790421903438,0.5982854117151246
twolocal,entangled,twolocal,renyi,4,3,11,11,18,276,42.204440116882324,0.6458730015476521,0.6919034290032817,0.3580384676132478,0.6577421453791258,0.39815068606502446
twolocal,entangled,twolocal,renyi,4,3,11,11,19,299,47.73574209213257,0.6102030865318833,0.7372204494862805,0.3582413474843158,0.6582415915613701,0.31127184296393035
twolocal,entangled,twolocal,renyi,4,3,11,11,20,322,53.77428197860718,0.6056728549681172,0.7444300159341668,0.35533117247287027,0.6614537146398848,0.2985924192747959
twolocal,entangled,twolocal,renyi,4,3,11,11,21,346,60.040101766586304,0.6028138430089173,0.7474144085531647,0.3580623229269426,0.6631030087816782,0.26743677807653154
twolocal,entangled,twolocal,renyi,4,3,11,11,22,372,67.17447972297668,0.595450562221009,0.7582715899093422,0.3525896099362823,0.6693009505664511,0.20830657073159586
twolocal,entangled,twolocal,renyi,4,3,11,11,23,397,74.30622482299805,0.5937370620717425,0.7607649599839724,0.35313012762289714,0.6700782642936456,0.22288809578718216
twolocal,entangled,twolocal,renyi,4,3,11,11,24,426,82.85080289840698,0.5956947544098871,0.7591847190634309,0.3558395714796513,0.6751867601111403,0.21762711741724905
twolocal,entangled,twolocal,renyi,4,3,11,11,25,456,92.3056869506836,0.5570868994734445,0.8336978363773851,0.35657301096151084,0.688304545446996,0.24014965165402857
twolocal,entangled,twolocal,renyi,4,3,11,11,26,487,102.4727931022644,0.5447967384433046,0.8590250441910805,0.35957008872092877,0.6974217996171415,0.320683487894267
twolocal,entangled,twolocal,renyi,4,3,11,11,27,516,112.25523114204407,0.5361521997974236,0.8742920915301756,0.3547519001210476,0.6997993625928014,0.33414804739880555
twolocal,entangled,twolocal,renyi,4,3,11,11,28,587,143.29999613761902,0.4544999355367301,1.0175820296401925,0.30220746268681237,0.7156420045095382,0.35218417033092775
twolocal,entangled,twolocal,renyi,4,3,11,11,29,650,172.9764211177826,0.4468047184974178,1.040647174774442,0.22506414815200843,0.7452876154840737,0.2685155907232975
twolocal,entangled,twolocal,renyi,4,3,11,11,30,685,186.9717309474945,0.45669122929697975,1.0237278632374265,0.21107628874229128,0.7451475918793833,0.25994841985614586
twolocal,entangled,twolocal,renyi,4,3,11,11,31,718,200.53598880767822,0.4333284685759399,1.0683451495246667,0.19943680893715374,0.7505399746074436,0.31203419699575097
twolocal,entangled,twolocal,renyi,4,3,11,11,32,752,214.75897979736328,0.4030664318378149,1.1199271525999337,0.16717008686224644,0.7628689643795947,0.35292237507842616
twolocal,entangled,twolocal,renyi,4,3,11,11,33,787,230.32895302772522,0.3931215875726792,1.144216099934021,0.1643863697740608,0.7704066677142112,0.2815309724892777
