enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,overlap,2,2,15,15,0,0,0.0,0.7434951859821277,NaN,0.3743783290586113,0.6770588392417844
twolocal,entangled,twolocal,overlap,2,2,15,15,1,4,0.0023040771484375,0.7434951859821277,0.4245718894772544,0.25735200304449957,0.831311102382102
twolocal,entangled,twolocal,overlap,2,2,15,15,2,9,0.007975101470947266,0.7434951859821277,0.4245718894772548,0.14282674459347738,0.8641428394924229
twolocal,entangled,twolocal,overlap,2,2,15,15,3,14,0.012150049209594727,0.7434951859821279,0.4245718894772542,0.1295596511764126,0.8808212053745285
twolocal,entangled,twolocal,overlap,2,2,15,15,4,21,0.01966404914855957,0.6079032737229417,0.6351804727614608,0.11992568899627769,0.9341735522664507
twolocal,entangled,twolocal,overlap,2,2,15,15,5,29,0.027130842208862305,0.4548950837810471,0.940944477740061,0.12022074680441264,0.9728911784360575
twolocal,entangled,twolocal,overlap,2,2,15,15,6,37,0.03647589683532715,0.4660844611434486,0.9438453296075364,0.12415503525710242,0.9794532299259526
twolocal,entangled,twolocal,overlap,2,2,15,15,7,45,0.047212839126586914,0.49474599653934864,0.9232256563735608,0.1244802104136953,0.985162618081648
twolocal,entangled,twolocal,overlap,2,2,15,15,8,55,0.06638479232788086,0.49443848258844963,0.9247283018029108,0.029356624076469634,0.9945271459248188
twolocal,entangled,twolocal,overlap,2,2,15,15,9,65,0.08298873901367188,0.4809024258779293,0.970979888250851,0.007944800250730452,0.9971679771136597
twolocal,entangled,twolocal,overlap,2,2,15,15,10,76,0.14009571075439453,0.48700826032404393,0.9598261050948247,0.00738185282960499,0.9984164477157361
twolocal,entangled,twolocal,overlap,2,2,15,15,11,87,0.19039559364318848,0.4822716205649531,0.9663564351763846,0.003928992606721499,0.9993414223525148
twolocal,entangled,twolocal,overlap,2,2,15,15,12,99,0.2194974422454834,0.482453779709452,0.965383010528878,0.00477230594885078,0.9997568894729425
twolocal,entangled,twolocal,overlap,2,2,15,15,13,111,0.28017330169677734,0.4834227944607117,0.9630113555163724,0.004148425733260894,0.999938925377135
twolocal,entangled,twolocal,overlap,2,2,15,15,14,125,0.3625962734222412,0.48215607597130455,0.9636357147736521,2.4993159829095335e-6,0.9999999989619487
