enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,numiters,runtime,purity,entropy,distance,fidelity,maxpoolgradient
twolocal,entangled,twolocal,renyi,4,0,1,1,0,0,0.0,1.0,-2.020241183599633e-15,0.6240461108502298,0.19417393950183318,0.6177544243193539
twolocal,entangled,twolocal,renyi,4,0,1,1,1,4,0.0009999275207519531,1.0,2.1686857570388813e-15,0.5617249986336899,0.2037958141309947,0.7601947134809645
twolocal,entangled,twolocal,renyi,4,0,1,1,2,13,0.0051479339599609375,1.0,3.271476280898605e-15,0.3656571367747004,0.32723674756985793,1.2962859791847512
twolocal,entangled,twolocal,renyi,4,0,1,1,3,21,0.009254932403564453,1.0,1.2008153564358246e-15,0.31251415177124564,0.3482589120929874,0.9346504909557853
twolocal,entangled,twolocal,renyi,4,0,1,1,4,30,0.014961004257202148,1.0,-1.630270768616603e-15,0.4135734077744647,0.3670037063752854,1.6317695438472817
twolocal,entangled,twolocal,renyi,4,0,1,1,5,40,0.02436518669128418,1.0,-3.841354396914337e-15,0.4229814140473317,0.38317467156540785,1.0547597145708636
twolocal,entangled,twolocal,renyi,4,0,1,1,6,52,0.034531354904174805,1.0,1.923693629062903e-15,0.4844230067986002,0.4234185041013512,1.0743958086994112
twolocal,entangled,twolocal,renyi,4,0,1,1,7,63,0.09182524681091309,1.0,-1.5311389489504887e-15,0.4748128102663491,0.4267749891346033,1.160745717126342
twolocal,entangled,twolocal,renyi,4,0,1,1,8,76,0.11017823219299316,1.0,1.1420236575732502e-15,0.4597162014255874,0.4297219742887699,1.1141004563599952
twolocal,entangled,twolocal,renyi,4,0,1,1,9,91,0.17556333541870117,1.0,2.4246593012709034e-16,0.6189031836740404,0.4641825766518776,1.3524161725497081
twolocal,entangled,twolocal,renyi,4,0,1,1,10,106,0.20103120803833008,0.9999999999999996,-3.967230930197735e-15,0.6029534769894672,0.4661112756084867,1.0103281542296731
twolocal,entangled,twolocal,renyi,4,0,1,1,11,121,0.270510196685791,1.0,-1.300715886240231e-15,0.5825569861854321,0.46716882288376393,0.7042836049260925
twolocal,entangled,twolocal,renyi,4,0,1,1,12,138,0.3150801658630371,1.0,1.3025145300204993e-15,0.5840206375056071,0.471955075376378,0.5166593635705944
twolocal,entangled,twolocal,renyi,4,0,1,1,13,155,0.39839720726013184,0.9999999999999998,-1.6821025331184186e-15,0.5785336458670287,0.4720591424436879,0.4278221791179455
twolocal,entangled,twolocal,renyi,4,0,1,1,14,174,0.48050808906555176,1.0,-1.0924937516134596e-15,0.5846622767261787,0.47354189615667625,0.3589119200692143
twolocal,entangled,twolocal,renyi,4,0,1,1,15,193,0.562650203704834,0.9999999999999991,-1.957090340942552e-15,0.5982248873637832,0.4743288298040569,0.4545494820997426
twolocal,entangled,twolocal,renyi,4,0,1,1,16,213,0.6546342372894287,1.0,-4.086035700531668e-16,0.5927383137799834,0.4747526783199892,0.23806562805730003
twolocal,entangled,twolocal,renyi,4,0,1,1,17,234,0.7469251155853271,1.0,-8.660384374445171e-17,0.5773850696957122,0.4755494576091383,0.17344673376907063
twolocal,entangled,twolocal,renyi,4,0,1,1,18,255,0.8448092937469482,1.0,-7.988507770623836e-16,0.5782075551463883,0.4755959400713756,0.15637386599122274
twolocal,entangled,twolocal,renyi,4,0,1,1,19,277,0.9459283351898193,1.0,-4.320975607936819e-15,0.5848362488845855,0.47638058951409445,0.1513026219591954
twolocal,entangled,twolocal,renyi,4,0,1,1,20,302,1.101867437362671,1.0,1.1710456440341877e-15,0.5835074804984886,0.47688905091803946,0.1247804552776603
twolocal,entangled,twolocal,renyi,4,0,1,1,21,327,1.224149465560913,1.0,3.1362573540112282e-15,0.5835176217282894,0.4770305382906507,0.12600920930333911
twolocal,entangled,twolocal,renyi,4,0,1,1,22,353,1.3903026580810547,1.0,2.3665002075793816e-16,0.5911433955595939,0.47720638119371384,0.098942174307596
twolocal,entangled,twolocal,renyi,4,0,1,1,23,380,1.5229675769805908,1.0,2.9828379411019406e-15,0.5915538404475984,0.4775834167831708,0.12124117255424564
twolocal,entangled,twolocal,renyi,4,0,1,1,24,408,1.6652076244354248,0.999999999999999,3.9753643503817716e-15,0.594161698776039,0.47778387342234735,0.09937886148270278
twolocal,entangled,twolocal,renyi,4,0,1,1,25,436,1.8505678176879883,1.0,1.7251796540516924e-15,0.5953573015103746,0.47787300196885973,0.08794870639119201
twolocal,entangled,twolocal,renyi,4,0,1,1,26,468,2.0581798553466797,0.9999999999999998,-6.68213624419786e-15,0.5929528303004191,0.4780026922503311,0.016976343164671073
twolocal,entangled,twolocal,renyi,4,0,1,1,27,505,2.3396456241607666,1.0,2.0492250337184585e-16,0.5929090450683212,0.47807559828198454,0.01929620144575782
twolocal,entangled,twolocal,renyi,4,0,1,1,28,553,2.723991632461548,1.0,1.5217657043729781e-15,0.589903201454361,0.4781682453353656,0.02239002868192879
twolocal,entangled,twolocal,renyi,4,0,1,1,29,593,3.070251703262329,1.0,-3.6798484810335226e-16,0.5897212964519398,0.47819405803591586,0.009159393121421817
twolocal,entangled,twolocal,renyi,4,0,1,1,30,632,3.427468776702881,1.0,-5.297067200340148e-15,0.5886037101737475,0.4782128161143554,2.1008840387359437e-7
